[SYNCPILOT | CPU  2] Layer 6 memproses Frame  28 | Waktu: 0.20757 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  37 | Waktu: 0.04442 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  34 | Waktu: 0.18463 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  38 | Waktu: 0.01706 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  37 | Waktu: 0.04813 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  35 | Waktu: 0.18301 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  36 | Waktu: 0.18171 detik
[SYNCPILOT | CPU  1] Layer 7 memproses Frame  23 | Waktu: 0.45255 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  33 | Waktu: 0.19454 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  38 | Waktu: 0.15600 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  37 | Waktu: 0.15080 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  38 | Waktu: 0.05118 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  35 | Waktu: 0.16956 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  39 | Waktu: 0.01585 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  36 | Waktu: 0.18816 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  38 | Waktu: 0.05037 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  40 | Waktu: 0.01809 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  38 | Waktu: 0.03166 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  33 | Waktu: 0.19588 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  38 | Waktu: 0.03448 detik
[SYNCPILOT | CPU  3] Layer 7 memproses Frame  27 | Waktu: 0.42530 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  37 | Waktu: 0.18548 detik
[SYNCPILOT | CPU  2] Layer 7 memproses Frame  28 | Waktu: 0.41953 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  41 | Waktu: 0.01619 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  40 | Waktu: 0.13251 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  39 | Waktu: 0.18310 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  40 | Waktu: 0.03437 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  39 | Waktu: 0.03331 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  38 | Waktu: 0.13044 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  40 | Waktu: 0.03350 detik
