Bobot & bias berhasil dimuat.
Menjalankan 8 worker thread (dynamic load balancing)...
[Worker 6 | CPU  0] Layer 4 memproses Frame  31 | Waktu: 0.00312 detik
[Worker 2 | CPU  0] Layer 3 memproses Frame  30 | Waktu: 0.00833 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  28 | Waktu: 0.00311 detik
[Worker 1 | CPU  0] Layer 7 memproses Frame  27 | Waktu: 0.01828 detik
[Worker 7 | CPU  0] Layer 2 memproses Frame  32 | Waktu: 0.01697 detik
[Worker 6 | CPU  0] Layer 5 memproses Frame  31 | Waktu: 0.00617 detik
[Worker 2 | CPU  0] Layer 4 memproses Frame  30 | Waktu: 0.00725 detik
[Worker 7 | CPU  0] Layer 3 memproses Frame  32 | Waktu: 0.00443 detik
[Worker 6 | CPU  0] Layer 6 memproses Frame  31 | Waktu: 0.00386 detik
[Worker 2 | CPU  0] Layer 5 memproses Frame  30 | Waktu: 0.00315 detik
[Worker 4 | CPU  0] Layer 7 memproses Frame  29 | Waktu: 0.01429 detik
[Worker 7 | CPU  0] Layer 4 memproses Frame  32 | Waktu: 0.00565 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  28 | Waktu: 0.01711 detik
[Worker 7 | CPU  0] Layer 5 memproses Frame  32 | Waktu: 0.00731 detik
[Worker 2 | CPU  0] Layer 6 memproses Frame  30 | Waktu: 0.01378 detik
[Worker 7 | CPU  0] Layer 6 memproses Frame  32 | Waktu: 0.00306 detik
[Worker 3 | CPU  0] Layer 8 memproses Frame  26 | Waktu: 0.03285 detik
[Worker 6 | CPU  0] Layer 7 memproses Frame  31 | Waktu: 0.01737 detik
[Worker 3 | CPU  0] Layer 1 memproses Frame  33 | Waktu: 0.00320 detik
[Worker 1 | CPU  0] Layer 8 memproses Frame  27 | Waktu: 0.03470 detik
[Worker 5 | CPU  0] Layer 8 memproses Frame  25 | Waktu: 0.04029 detik
Frame 25 selesai diproses.
Frame 26 selesai diproses.
Frame 27 selesai diproses.
[Worker 3 | CPU  0] Layer 2 memproses Frame  33 | Waktu: 0.01150 detik
[Worker 1 | CPU  0] Layer 1 memproses Frame  34 | Waktu: 0.00320 detik
[Worker 2 | CPU  0] Layer 7 memproses Frame  30 | Waktu: 0.01838 detik
[Worker 5 | CPU  0] Layer 1 memproses Frame  35 | Waktu: 0.00430 detik
[Worker 7 | CPU  0] Layer 7 memproses Frame  32 | Waktu: 0.01949 detik
[Worker 3 | CPU  0] Layer 3 memproses Frame  33 | Waktu: 0.00751 detik
[Worker 3 | CPU  0] Layer 4 memproses Frame  33 | Waktu: 0.00299 detik
[Worker 4 | CPU  0] Layer 8 memproses Frame  29 | Waktu: 0.04237 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  28 | Waktu: 0.03753 detik
[Worker 1 | CPU  0] Layer 2 memproses Frame  34 | Waktu: 0.01355 detik
Frame 28 selesai diproses.
Frame 29 selesai diproses.
[Worker 4 | CPU  0] Layer 1 memproses Frame  36 | Waktu: 0.00317 detik
[Worker 3 | CPU  0] Layer 5 memproses Frame  33 | Waktu: 0.00691 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  37 | Waktu: 0.00317 detik
[Worker 1 | CPU  0] Layer 3 memproses Frame  34 | Waktu: 0.00305 detik
[Worker 3 | CPU  0] Layer 6 memproses Frame  33 | Waktu: 0.00315 detik
[Worker 1 | CPU  0] Layer 4 memproses Frame  34 | Waktu: 0.00313 detik
[Worker 5 | CPU  0] Layer 2 memproses Frame  35 | Waktu: 0.02248 detik
[Worker 1 | CPU  0] Layer 5 memproses Frame  34 | Waktu: 0.00467 detik
[Worker 4 | CPU  0] Layer 2 memproses Frame  36 | Waktu: 0.01261 detik
[Worker 5 | CPU  0] Layer 3 memproses Frame  35 | Waktu: 0.00532 detik
[Worker 2 | CPU  0] Layer 8 memproses Frame  30 | Waktu: 0.02950 detik
[Worker 1 | CPU  0] Layer 6 memproses Frame  34 | Waktu: 0.00601 detik
Frame 30 selesai diproses.
[Worker 4 | CPU  0] Layer 3 memproses Frame  36 | Waktu: 0.00400 detik
[Worker 6 | CPU  0] Layer 8 memproses Frame  31 | Waktu: 0.04629 detik
[Worker 5 | CPU  0] Layer 4 memproses Frame  35 | Waktu: 0.00319 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  37 | Waktu: 0.01605 detik
[Worker 4 | CPU  0] Layer 4 memproses Frame  36 | Waktu: 0.00313 detik
Frame 31 selesai diproses.
[Worker 5 | CPU  0] Layer 5 memproses Frame  35 | Waktu: 0.00358 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  37 | Waktu: 0.00341 detik
[Worker 4 | CPU  0] Layer 5 memproses Frame  36 | Waktu: 0.00330 detik
[Worker 2 | CPU  0] Layer 1 memproses Frame  38 | Waktu: 0.00839 detik
[Worker 5 | CPU  0] Layer 6 memproses Frame  35 | Waktu: 0.00309 detik
[Worker 3 | CPU  0] Layer 7 memproses Frame  33 | Waktu: 0.02196 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  37 | Waktu: 0.00565 detik
[Worker 6 | CPU  0] Layer 1 memproses Frame  39 | Waktu: 0.00986 detik
[Worker 7 | CPU  0] Layer 8 memproses Frame  32 | Waktu: 0.03919 detik
Frame 32 selesai diproses.
