[Worker 3 | CPU  3] Layer 1 memproses Frame  29 | Waktu: 0.00635 detik
[Worker 5 | CPU  5] Layer 6 memproses Frame  25 | Waktu: 0.00308 detik
[Worker 4 | CPU  4] Layer 2 memproses Frame  26 | Waktu: 0.01775 detik
[Worker 7 | CPU  7] Layer 2 memproses Frame  27 | Waktu: 0.01548 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  28 | Waktu: 0.01591 detik
[Worker 2 | CPU  2] Layer 1 memproses Frame  31 | Waktu: 0.00726 detik
[Worker 1 | CPU  1] Layer 1 memproses Frame  32 | Waktu: 0.00766 detik
[Worker 4 | CPU  4] Layer 3 memproses Frame  26 | Waktu: 0.00500 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  28 | Waktu: 0.00420 detik
[Worker 7 | CPU  7] Layer 3 memproses Frame  27 | Waktu: 0.00757 detik
[Worker 3 | CPU  3] Layer 2 memproses Frame  29 | Waktu: 0.01185 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  28 | Waktu: 0.00318 detik
[Worker 5 | CPU  5] Layer 7 memproses Frame  25 | Waktu: 0.01242 detik
[Worker 3 | CPU  3] Layer 3 memproses Frame  29 | Waktu: 0.00317 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  28 | Waktu: 0.00310 detik
[Worker 4 | CPU  4] Layer 4 memproses Frame  26 | Waktu: 0.00900 detik
[Worker 7 | CPU  7] Layer 4 memproses Frame  27 | Waktu: 0.00639 detik
[Worker 1 | CPU  1] Layer 2 memproses Frame  32 | Waktu: 0.01246 detik
[Worker 6 | CPU  6] Layer 2 memproses Frame  30 | Waktu: 0.02063 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  28 | Waktu: 0.00424 detik
[Worker 3 | CPU  3] Layer 4 memproses Frame  29 | Waktu: 0.00636 detik
[Worker 4 | CPU  4] Layer 5 memproses Frame  26 | Waktu: 0.00343 detik
[Worker 2 | CPU  2] Layer 2 memproses Frame  31 | Waktu: 0.01673 detik
[Worker 7 | CPU  7] Layer 5 memproses Frame  27 | Waktu: 0.00583 detik
[Worker 1 | CPU  1] Layer 3 memproses Frame  32 | Waktu: 0.00462 detik
[Worker 6 | CPU  6] Layer 3 memproses Frame  30 | Waktu: 0.00333 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  28 | Waktu: 0.00993 detik
[Worker 3 | CPU  3] Layer 5 memproses Frame  29 | Waktu: 0.00315 detik
[Worker 4 | CPU  4] Layer 6 memproses Frame  26 | Waktu: 0.00315 detik
[Worker 7 | CPU  7] Layer 6 memproses Frame  27 | Waktu: 0.00625 detik
[Worker 6 | CPU  6] Layer 4 memproses Frame  30 | Waktu: 0.00677 detik
[Worker 2 | CPU  2] Layer 3 memproses Frame  31 | Waktu: 0.00851 detik
[Worker 1 | CPU  1] Layer 4 memproses Frame  32 | Waktu: 0.00850 detik
[Worker 3 | CPU  3] Layer 6 memproses Frame  29 | Waktu: 0.00706 detik
[Worker 2 | CPU  2] Layer 4 memproses Frame  31 | Waktu: 0.00424 detik
[Worker 1 | CPU  1] Layer 5 memproses Frame  32 | Waktu: 0.00424 detik
[Worker 6 | CPU  6] Layer 5 memproses Frame  30 | Waktu: 0.00640 detik
[Worker 4 | CPU  4] Layer 7 memproses Frame  26 | Waktu: 0.01169 detik
[Worker 1 | CPU  1] Layer 6 memproses Frame  32 | Waktu: 0.00313 detik
[Worker 2 | CPU  2] Layer 5 memproses Frame  31 | Waktu: 0.00314 detik
[Worker 6 | CPU  6] Layer 6 memproses Frame  30 | Waktu: 0.00322 detik
[Worker 5 | CPU  5] Layer 8 memproses Frame  25 | Waktu: 0.03231 detik
[Worker 2 | CPU  2] Layer 6 memproses Frame  31 | Waktu: 0.00316 detik
[Worker 5 | CPU  5] Layer 1 memproses Frame  33 | Waktu: 0.00323 detik
[Worker 7 | CPU  7] Layer 7 memproses Frame  27 | Waktu: 0.01605 detik
[Worker 3 | CPU  3] Layer 7 memproses Frame  29 | Waktu: 0.01298 detik
[Worker 6 | CPU  6] Layer 7 memproses Frame  30 | Waktu: 0.01309 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame  33 | Waktu: 0.01199 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  28 | Waktu: 0.03163 detik
[Worker 2 | CPU  2] Layer 7 memproses Frame  31 | Waktu: 0.01447 detik
[Worker 1 | CPU  1] Layer 7 memproses Frame  32 | Waktu: 0.01879 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  34 | Waktu: 0.00317 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame  33 | Waktu: 0.00796 detik
[Worker 5 | CPU  5] Layer 4 memproses Frame  33 | Waktu: 0.00334 detik
[Worker 5 | CPU  5] Layer 5 memproses Frame  33 | Waktu: 0.00291 detik
[Worker 5 | CPU  5] Layer 6 memproses Frame  33 | Waktu: 0.00290 detik
[Worker 0 | CPU  0] Layer 2 memproses Frame  34 | Waktu: 0.01441 detik
[Worker 4 | CPU  4] Layer 8 memproses Frame  26 | Waktu: 0.03778 detik
[Worker 0 | CPU  0] Layer 3 memproses Frame  34 | Waktu: 0.00384 detik
[Worker 4 | CPU  4] Layer 1 memproses Frame  35 | Waktu: 0.00337 detik
[Worker 0 | CPU  0] Layer 4 memproses Frame  34 | Waktu: 0.00315 detik
[Worker 0 | CPU  0] Layer 5 memproses Frame  34 | Waktu: 0.00296 detik
[Worker 3 | CPU  3] Layer 8 memproses Frame  29 | Waktu: 0.03822 detik
[Worker 5 | CPU  5] Layer 7 memproses Frame  33 | Waktu: 0.01504 detik
[Worker 3 | CPU  3] Layer 1 memproses Frame  36 | Waktu: 0.00317 detik
[Worker 7 | CPU  7] Layer 8 memproses Frame  27 | Waktu: 0.04281 detik
[Worker 0 | CPU  0] Layer 6 memproses Frame  34 | Waktu: 0.00680 detik
[Worker 6 | CPU  6] Layer 8 memproses Frame  30 | Waktu: 0.03767 detik
[Worker 7 | CPU  7] Layer 1 memproses Frame  37 | Waktu: 0.00315 detik
[Worker 2 | CPU  2] Layer 8 memproses Frame  31 | Waktu: 0.03503 detik
[Worker 6 | CPU  6] Layer 1 memproses Frame  38 | Waktu: 0.00378 detik
[Worker 4 | CPU  4] Layer 2 memproses Frame  35 | Waktu: 0.01563 detik
[Worker 1 | CPU  1] Layer 8 memproses Frame  32 | Waktu: 0.03703 detik
[Worker 1 | CPU  1] Layer 1 memproses Frame  40 | Waktu: 0.00391 detik
[Worker 2 | CPU  2] Layer 1 memproses Frame  39 | Waktu: 0.00747 detik
[Worker 4 | CPU  4] Layer 3 memproses Frame  35 | Waktu: 0.00661 detik
[Worker 7 | CPU  7] Layer 2 memproses Frame  37 | Waktu: 0.01120 detik
[Worker 0 | CPU  0] Layer 7 memproses Frame  34 | Waktu: 0.01467 detik
[Worker 6 | CPU  6] Layer 2 memproses Frame  38 | Waktu: 0.01151 detik
[Worker 7 | CPU  7] Layer 3 memproses Frame  37 | Waktu: 0.00336 detik
[Worker 3 | CPU  3] Layer 2 memproses Frame  36 | Waktu: 0.01842 detik
[Worker 4 | CPU  4] Layer 4 memproses Frame  35 | Waktu: 0.00597 detik
[Worker 3 | CPU  3] Layer 3 memproses Frame  36 | Waktu: 0.00319 detik
[Worker 4 | CPU  4] Layer 5 memproses Frame  35 | Waktu: 0.00318 detik
[Worker 6 | CPU  6] Layer 3 memproses Frame  38 | Waktu: 0.00673 detik
[Worker 1 | CPU  1] Layer 2 memproses Frame  40 | Waktu: 0.01406 detik
[Worker 7 | CPU  7] Layer 4 memproses Frame  37 | Waktu: 0.00715 detik
[Worker 2 | CPU  2] Layer 2 memproses Frame  39 | Waktu: 0.01401 detik
[Worker 3 | CPU  3] Layer 4 memproses Frame  36 | Waktu: 0.00451 detik
[Worker 2 | CPU  2] Layer 3 memproses Frame  39 | Waktu: 0.00317 detik
[Worker 1 | CPU  1] Layer 3 memproses Frame  40 | Waktu: 0.00394 detik
[Worker 6 | CPU  6] Layer 4 memproses Frame  38 | Waktu: 0.00477 detik
[Worker 3 | CPU  3] Layer 5 memproses Frame  36 | Waktu: 0.00438 detik
[Worker 4 | CPU  4] Layer 6 memproses Frame  35 | Waktu: 0.00779 detik
[Worker 2 | CPU  2] Layer 4 memproses Frame  39 | Waktu: 0.00310 detik
[Worker 7 | CPU  7] Layer 5 memproses Frame  37 | Waktu: 0.00805 detik
[Worker 6 | CPU  6] Layer 5 memproses Frame  38 | Waktu: 0.00477 detik
[Worker 1 | CPU  1] Layer 4 memproses Frame  40 | Waktu: 0.00512 detik
[Worker 2 | CPU  2] Layer 5 memproses Frame  39 | Waktu: 0.00313 detik
[Worker 7 | CPU  7] Layer 6 memproses Frame  37 | Waktu: 0.00311 detik
[Worker 5 | CPU  5] Layer 8 memproses Frame  33 | Waktu: 0.03732 detik
[Worker 2 | CPU  2] Layer 6 memproses Frame  39 | Waktu: 0.00305 detik
[Worker 3 | CPU  3] Layer 6 memproses Frame  36 | Waktu: 0.00845 detik
[Worker 1 | CPU  1] Layer 5 memproses Frame  40 | Waktu: 0.00581 detik
[Worker 5 | CPU  5] Layer 1 memproses Frame  41 | Waktu: 0.00323 detik
[Worker 6 | CPU  6] Layer 6 memproses Frame  38 | Waktu: 0.00779 detik
[Worker 1 | CPU  1] Layer 6 memproses Frame  40 | Waktu: 0.00554 detik
[Worker 4 | CPU  4] Layer 7 memproses Frame  35 | Waktu: 0.01542 detik
[Worker 2 | CPU  2] Layer 7 memproses Frame  39 | Waktu: 0.01148 detik
[Worker 7 | CPU  7] Layer 7 memproses Frame  37 | Waktu: 0.01522 detik
[Worker 0 | CPU  0] Layer 8 memproses Frame  34 | Waktu: 0.03499 detik
[Worker 6 | CPU  6] Layer 7 memproses Frame  38 | Waktu: 0.01302 detik
[Worker 3 | CPU  3] Layer 7 memproses Frame  36 | Waktu: 0.01629 detik
[Worker 0 | CPU  0] Layer 1 memproses Frame  42 | Waktu: 0.00320 detik
[Worker 5 | CPU  5] Layer 2 memproses Frame  41 | Waktu: 0.01645 detik
[Worker 5 | CPU  5] Layer 3 memproses Frame  41 | Waktu: 0.00629 detik
[Worker 1 | CPU  1] Layer 7 memproses Frame  40 | Waktu: 0.01844 detik
