[SYNCPILOT | CPU  7] Layer 5 memproses Frame  17 | Waktu: 0.02670 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  18 | Waktu: 0.15946 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  21 | Waktu: 0.02316 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  24 | Waktu: 0.01491 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  17 | Waktu: 0.02476 detik
[SYNCPILOT | CPU  2] Layer 8 memproses Frame   2 | Waktu: 0.80154 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  17 | Waktu: 0.09404 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  21 | Waktu: 0.10653 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  24 | Waktu: 0.10927 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  24 | Waktu: 0.02010 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  20 | Waktu: 0.18923 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  24 | Waktu: 0.02089 detik
[SYNCPILOT | CPU  1] Layer 2 memproses Frame  22 | Waktu: 0.25262 detik
[SYNCPILOT | CPU  2] Layer 1 memproses Frame  25 | Waktu: 0.13605 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  26 | Waktu: 0.01793 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  24 | Waktu: 0.02216 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  24 | Waktu: 0.02664 detik
[SYNCPILOT | CPU  3] Layer 2 memproses Frame  23 | Waktu: 0.29971 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  22 | Waktu: 0.10302 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  26 | Waktu: 0.10287 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  21 | Waktu: 0.18390 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  17 | Waktu: 0.18766 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  24 | Waktu: 0.09627 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  26 | Waktu: 0.02736 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  27 | Waktu: 0.01770 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  28 | Waktu: 0.01697 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  26 | Waktu: 0.02294 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  26 | Waktu: 0.02874 detik
[SYNCPILOT | CPU  3] Layer 3 memproses Frame  23 | Waktu: 0.12414 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  26 | Waktu: 0.02980 detik
[SYNCPILOT | CPU  1] Layer 4 memproses Frame  22 | Waktu: 0.12325 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  28 | Waktu: 0.08358 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  28 | Waktu: 0.03025 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  27 | Waktu: 0.11646 detik
[SYNCPILOT | CPU  2] Layer 2 memproses Frame  25 | Waktu: 0.26807 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  28 | Waktu: 0.02920 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  27 | Waktu: 0.03069 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  28 | Waktu: 0.02864 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  24 | Waktu: 0.17972 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  27 | Waktu: 0.02957 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  26 | Waktu: 0.10819 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  29 | Waktu: 0.01593 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  28 | Waktu: 0.02841 detik
[SYNCPILOT | CPU  3] Layer 4 memproses Frame  23 | Waktu: 0.12971 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  27 | Waktu: 0.03080 detik
[SYNCPILOT | CPU  1] Layer 5 memproses Frame  22 | Waktu: 0.12985 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  27 | Waktu: 0.03038 detik
[SYNCPILOT | CPU  2] Layer 3 memproses Frame  25 | Waktu: 0.12866 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  29 | Waktu: 0.10276 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  28 | Waktu: 0.10007 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  29 | Waktu: 0.02684 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  27 | Waktu: 0.10374 detik
[SYNCPILOT | CPU  3] Layer 5 memproses Frame  23 | Waktu: 0.13591 detik
[SYNCPILOT | CPU  1] Layer 6 memproses Frame  22 | Waktu: 0.13138 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  29 | Waktu: 0.02570 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  26 | Waktu: 0.16269 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  29 | Waktu: 0.02221 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  30 | Waktu: 0.02267 detik
[SYNCPILOT | CPU  2] Layer 4 memproses Frame  25 | Waktu: 0.12404 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  29 | Waktu: 0.02393 detik
[SYNCPILOT | CPU  3] Layer 6 memproses Frame  23 | Waktu: 0.12084 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  30 | Waktu: 0.09216 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  29 | Waktu: 0.09243 detik
[SYNCPILOT | CPU  0] Layer 8 memproses Frame  19 | Waktu: 0.89773 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  28 | Waktu: 0.18799 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  30 | Waktu: 0.02907 detik
[SYNCPILOT | CPU  2] Layer 5 memproses Frame  25 | Waktu: 0.12329 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  32 | Waktu: 0.01742 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  27 | Waktu: 0.19278 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  30 | Waktu: 0.03474 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  33 | Waktu: 0.01991 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  30 | Waktu: 0.03193 detik
[SYNCPILOT | CPU  0] Layer 1 memproses Frame  31 | Waktu: 0.11138 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  30 | Waktu: 0.03404 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  32 | Waktu: 0.11090 detik
[SYNCPILOT | CPU  1] Layer 7 memproses Frame  22 | Waktu: 0.29125 detik
[SYNCPILOT | CPU  2] Layer 6 memproses Frame  25 | Waktu: 0.13761 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  32 | Waktu: 0.03460 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  29 | Waktu: 0.17814 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  34 | Waktu: 0.01699 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  33 | Waktu: 0.13300 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  32 | Waktu: 0.03484 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  33 | Waktu: 0.03506 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  32 | Waktu: 0.03455 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  32 | Waktu: 0.03292 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  33 | Waktu: 0.03527 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  30 | Waktu: 0.16293 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  33 | Waktu: 0.03454 detik
[SYNCPILOT | CPU  3] Layer 7 memproses Frame  23 | Waktu: 0.33589 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  33 | Waktu: 0.02762 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  32 | Waktu: 0.10171 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  34 | Waktu: 0.18092 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  34 | Waktu: 0.02444 detik
[SYNCPILOT | CPU  0] Layer 2 memproses Frame  31 | Waktu: 0.30151 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  34 | Waktu: 0.02504 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  33 | Waktu: 0.09371 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  30 | Waktu: 0.16278 detik
[SYNCPILOT | CPU  2] Layer 7 memproses Frame  25 | Waktu: 0.28634 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  34 | Waktu: 0.02086 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  35 | Waktu: 0.01332 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  34 | Waktu: 0.02025 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  35 | Waktu: 0.06646 detik
[SYNCPILOT | CPU  0] Layer 3 memproses Frame  31 | Waktu: 0.11835 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  34 | Waktu: 0.06861 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  35 | Waktu: 0.02229 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  32 | Waktu: 0.17735 detik
[SYNCPILOT | CPU  7] Layer 1 memproses Frame  36 | Waktu: 0.01767 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  35 | Waktu: 0.02354 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  35 | Waktu: 0.02077 detik
[SYNCPILOT | CPU  6] Layer 8 memproses Frame  33 | Waktu: 0.17775 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  35 | Waktu: 0.02146 detik
[SYNCPILOT | CPU  6] Layer 1 memproses Frame  37 | Waktu: 0.01914 detik
[SYNCPILOT | CPU  7] Layer 2 memproses Frame  36 | Waktu: 0.07015 detik
[SYNCPILOT | CPU  0] Layer 4 memproses Frame  31 | Waktu: 0.12535 detik
[SYNCPILOT | CPU  7] Layer 3 memproses Frame  36 | Waktu: 0.02612 detik
[SYNCPILOT | CPU  7] Layer 4 memproses Frame  36 | Waktu: 0.02610 detik
[SYNCPILOT | CPU  5] Layer 8 memproses Frame  34 | Waktu: 0.15174 detik
[SYNCPILOT | CPU  4] Layer 7 memproses Frame  35 | Waktu: 0.08027 detik
[SYNCPILOT | CPU  6] Layer 2 memproses Frame  37 | Waktu: 0.07738 detik
[SYNCPILOT | CPU  5] Layer 1 memproses Frame  38 | Waktu: 0.01526 detik
[SYNCPILOT | CPU  7] Layer 5 memproses Frame  36 | Waktu: 0.02531 detik
[SYNCPILOT | CPU  6] Layer 3 memproses Frame  37 | Waktu: 0.02584 detik
[SYNCPILOT | CPU  7] Layer 6 memproses Frame  36 | Waktu: 0.02428 detik
[SYNCPILOT | CPU  6] Layer 4 memproses Frame  37 | Waktu: 0.02550 detik
[SYNCPILOT | CPU  5] Layer 2 memproses Frame  38 | Waktu: 0.07450 detik
[SYNCPILOT | CPU  6] Layer 5 memproses Frame  37 | Waktu: 0.02738 detik
[SYNCPILOT | CPU  0] Layer 5 memproses Frame  31 | Waktu: 0.12419 detik
[SYNCPILOT | CPU  5] Layer 3 memproses Frame  38 | Waktu: 0.02321 detik
[SYNCPILOT | CPU  6] Layer 6 memproses Frame  37 | Waktu: 0.02662 detik
[SYNCPILOT | CPU  7] Layer 7 memproses Frame  36 | Waktu: 0.08253 detik
[SYNCPILOT | CPU  5] Layer 4 memproses Frame  38 | Waktu: 0.02341 detik
[SYNCPILOT | CPU  4] Layer 8 memproses Frame  35 | Waktu: 0.14742 detik
[SYNCPILOT | CPU  5] Layer 5 memproses Frame  38 | Waktu: 0.02198 detik
[SYNCPILOT | CPU  4] Layer 1 memproses Frame  39 | Waktu: 0.01395 detik
[SYNCPILOT | CPU  5] Layer 6 memproses Frame  38 | Waktu: 0.02586 detik
[SYNCPILOT | CPU  6] Layer 7 memproses Frame  37 | Waktu: 0.07948 detik
[SYNCPILOT | CPU  0] Layer 6 memproses Frame  31 | Waktu: 0.13262 detik
[SYNCPILOT | CPU  4] Layer 2 memproses Frame  39 | Waktu: 0.06824 detik
[SYNCPILOT | CPU  4] Layer 3 memproses Frame  39 | Waktu: 0.02177 detik
[SYNCPILOT | CPU  5] Layer 7 memproses Frame  38 | Waktu: 0.07274 detik
[SYNCPILOT | CPU  4] Layer 4 memproses Frame  39 | Waktu: 0.02031 detik
[SYNCPILOT | CPU  4] Layer 5 memproses Frame  39 | Waktu: 0.02033 detik
[SYNCPILOT | CPU  1] Layer 8 memproses Frame  22 | Waktu: 0.84432 detik
[SYNCPILOT | CPU  7] Layer 8 memproses Frame  36 | Waktu: 0.17756 detik
[SYNCPILOT | CPU  4] Layer 6 memproses Frame  39 | Waktu: 0.02953 detik
